"住所CD","都道府県CD","市区町村CD","町域CD","郵便番号","事業所フラグ","廃止フラグ","都道府県","都道府県カナ","市区町村","市区町村カナ","町域","町域カナ","町域補足","京都通り名","字丁目","字丁目カナ","補足","事業所名","事業所名カナ","事業所住所","新住所CD"
260000000,12,12101,121010000,"260-0000",0,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク",,"　","（該当なし）",,,,,,,,
260085200,12,12101,121010001,"260-0852",0,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","青葉町","アオバチョウ",,,,,,,,,
260868200,12,12101,121010001,"260-8682",1,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","青葉町","アオバチョウ",,,,,,"千葉県立　中央博物館","チバケンリツ　チユウオウハクブツカン","青葉町９５５－２",
260080400,12,12101,121010002,"260-0804",0,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","赤井町","アカイチョウ",,,,,,,,,
260000200,12,12101,121010003,"260-0002",0,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","旭町","アサヒチョウ",,,,,,,,,
260085500,12,12101,121010004,"260-0855",0,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","市場町","イチバチョウ",,,,,,,,,
260866100,12,12101,121010004,"260-8661",1,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","市場町","イチバチョウ",,,,,,"財団法人　千葉県文化振興財団","ザイダンホウジン　チバケンブンカシンコウザイダン","市場町１１－２",
260866000,12,12101,121010004,"260-8660",1,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","市場町","イチバチョウ",,,,,,"千葉県立　中央図書館","チバケンリツ　チユオウトシヨカン","市場町１１－１",
260866300,12,12101,121010004,"260-8663",1,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","市場町","イチバチョウ",,,,,,"旭建設　株式会社","アサヒケンセツ　カブシキガイシヤ","市場町３－１",
260862900,12,12101,121010004,"260-8629",1,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","市場町","イチバチョウ",,,,,,"財団法人　千葉県公立学校教職員互助会","ザイダンホウジン　チバケンコウリツガツコウキヨウシヨクインゴジヨカイ","市場町１番１号",
260861900,12,12101,121010004,"260-8619",1,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","市場町","イチバチョウ",,,,,,"公立学校共済組合　千葉支部","コウリツガツコウキヨウサイクミアイ　チバシブ","市場町１－１",
260866500,12,12101,121010004,"260-8665",1,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","市場町","イチバチョウ",,,,,,"千葉県病院局","チバケンビヨウインキヨク","市場町１－１",
260866600,12,12101,121010004,"260-8666",1,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","市場町","イチバチョウ",,,,,,"千葉窯業　株式会社","チバヨウギヨウ　カブシキガイシヤ","市場町３－１",
260866700,12,12101,121010004,"260-8667",1,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","市場町","イチバチョウ",,,,,,"千葉県","チバケン","市場町１－１",
260866200,12,12101,121010004,"260-8662",1,0,"千葉県","チバケン","千葉市中央区","チバシチュウオウク","市場町","イチバチョウ",,,,,,"千葉県教育庁　千葉県教育委員会","チバケンキヨウイクチヨウ　チバケンキヨウイクイインカイ","市場町１－１",
