施設、場所、イベントの名称,施設、場所、イベントの名称（読み）,ジャンル,キャッチコピー,説明文,経度（世界測地系）,緯度（世界測地系）,郵便番号,住所,ビル名,フロア数,電話番号,FAX番号,アクセス,予算,定員、収容人数,定員、収容人数コメント,取扱商品、メニュー、プラン,取扱商品、メニュー、プラン 料金,取扱商品、メニュー、プラン 写真ファイル名,取扱商品、メニュー、プラン 写真キャプション,写真ファイル名,写真キャプション,ホームページURL（PC）,ホームページURL（モバイル）,支払方法,ペット同伴の可・不可,コピーライト・情報提供元,注意事項,その他説明、備考
千葉市 轟町３丁目チビッコ広場,トドロキチョウ３チョウメチビッコヒロバ,,,,140.109369,35.629793,,千葉市稲毛区轟町３丁目５８－３３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 幕張町６丁目チビッコ広場,マクハリチョウ６チョウメチビッコヒロバ,,,,140.058704,35.660221,,千葉市花見川区幕張町６丁目９９－３,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 下田チビッコ広場,シモダチビッコヒロバ,,,,140.21495,35.634675,,千葉市若葉区下田町２１１,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 金親町チビッコ広場,カナオヤチヨウチビッコヒロバ,,,,140.202163,35.619412,,千葉市若葉区金親町１８,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市　蘇我スポーツ公園,ソガスポーツコウエン,,,,140.122663,35.57865,,千葉市中央区川崎町１－２０他,,,043-245-5897,,ＪＲ蘇我駅より徒歩８分,,,,,,,,,,,,,,,,
千葉市 浜野南第１公園,ハマノミナミダイ１コウエン,,,,140.143278,35.549397,,千葉市中央区浜野町１１２番８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 赤井町公園,アカイチョウコウエン,,,,140.167248,35.574704,,千葉市中央区赤井町７３９－５６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 旭町公園,アサヒチョウコウエン,,,,140.134491,35.607615,,千葉市中央区旭町１１－１１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 吾妻公園,アヅマコウエン,,,,140.123706,35.606733,,千葉市中央区中央４丁目１－２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 厳島公園,イツクシマコウエン,,,,140.118782,35.599816,,千葉市中央区港町１３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲荷町第２公園,イナリチョウダイ２コウエン,,,,140.127646,35.585787,,千葉市中央区稲荷町５０５－２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 亥鼻台公園,イノハナダイコウエン,,,,140.130028,35.603174,,千葉市中央区亥鼻３丁目２２４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 今井公園,イマイコウエン,,,,140.129311,35.582037,,千葉市中央区今井１丁目２４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 今井第２公園,イマイダイ２コウエン,,,,140.132082,35.578067,,千葉市中央区今井３丁目８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 院内公園,インナイコウエン,,,,140.124675,35.61129,,千葉市中央区院内２丁目１８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 内谷公園,ウチタニコウエン,,,,140.130326,35.585504,,千葉市中央区南町１丁目１２４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 内谷津公園,ウチヤツコウエン,,,,140.143167,35.604301,,千葉市中央区矢作町４９７－２０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 鵜の森公園,ウノモリコウエン,,,,140.139475,35.576257,,千葉市中央区鵜の森町１１３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 鵜の森第２公園,ウノモリダイ２コウエン,,,,140.138254,35.574376,,千葉市中央区今井町１３０１－３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 生浜公園,オイハマコウエン,,,,140.14976,35.559016,,千葉市中央区生実町１８６２－２０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 大田切公園,オオタギリコウエン,,,,140.139471,35.608551,,千葉市中央区都町３丁目１３－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 大森第１公園,オオモリダイ１コウエン,,,,140.149199,35.574806,,千葉市中央区大森町２３－１６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 貝関公園,カイゼキコウエン,,,,140.137718,35.572465,,千葉市中央区蘇我町２丁目６０６－３９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 春日公園,カスガコウエン,,,,140.104335,35.621026,,千葉市中央区春日１丁目２０,,,043-251-5103,,,,,,,,,,,,,,,,,,
